"id_barang","nama_barang","total_stok_barang","total_transaksi","total_terjual","stok_saat_ini","tahun"
"228327","BERAS KETAN 2 KG","7000","26","6751","249","2020"
"270422","BODREX 1 LEMBAR","7000","30","6358","642","2020"
"251405","GULA PASIR 1/2 KG","7000","3619","6233","767","2020"
"274214","GULA PASIR 1 KG","7000","2280","5937","1063","2020"
"137934","TELOR 1/2KG","7000","2919","3556","3444","2020"
"140130","GAS 3 KG","7000","1688","3476","3524","2020"
"159221","MIE BECAK 1 PCS","7000","28","3400","3600","2020"
"174601","KEDELE PANDA RENCENG","7000","28","3400","3600","2020"
"211180","MIE MOJANG KWETIAU ","7000","15","3400","3600","2020"
"181386","GULA PASIR 1/4 KG","7000","983","3335","3665","2020"
"226847","MINYAK MALINDA 1 KG","7000","1456","2757","4243","2020"
"194646","BONCABE GOLD LEVEL 30 RENCENG","7000","31","2687","4313","2020"
"166683","TERIGU DAHLIA 1 KG","7000","1408","2176","4824","2020"
"122073","TERIGU DAHLIA 1/2 KG","7000","1260","1949","5051","2020"
"236498","BERAS 1 KG","7000","529","1775","5225","2020"
"246529","TELOR 1 KG","7000","1125","1633","5367","2020"
"133997","PERMEN COIN","7000","441","1591","5409","2020"
"170683","MINYAK MALINDA 1/2 KG","7000","791","1414","5586","2020"
"201003","MAKARONI PEDAS KILOAN","7000","125","1256","5744","2020"
"130827","BAWANG PUTIH 1/4 KG","7000","925","1028","5972","2020"
"176431","SPON MANDI BELIMBING WARNA","7000","32","945","6055","2020"
"161703","PLASTIK PARASUT PUTIH KECIL","7000","368","904","6096","2020"
"237973","ACI 1/2KG","7000","556","870","6130","2020"
"127694","TEPUNG SEGITIGA BIRU 1 KG","7000","384","854","6146","2020"
"280307","TOLAK ANGIN CAIR 1 RENCENG","7000","151","854","6146","2020"
"116020","GULA MERAH PURNAMA 1/4 KG","7000","605","805","6195","2020"
"150755","DUS SNACK MERAH PUTIH 1 PCS","7000","26","802","6198","2020"
"286532","MINYAK MALINDA 1/4 KG","7000","214","788","6212","2020"
"235662","TEH SEPEDA BALAP 1 PACK+GELAS","7000","314","779","6221","2020"
"224903","BERAS 2.5KG","7000","527","775","6225","2020"
"195739","ACI 1 KG","7000","506","762","6238","2020"
"176217","KEMIRI 1 ONS","7000","648","746","6254","2020"
"243458","TEPUNG SEGITIGA BIRU 1/2 KG","7000","319","736","6264","2020"
"274622","CHOKI CHOKI 1 PCS","7000","399","726","6274","2020"
"100371","TERIGU DAHLIA 1/4 KG","7000","326","694","6306","2020"
"245159","STEROFOAM NASI+LAUK 1PCS","7000","20","679","6321","2020"
"141456","TELOR 1/4KG","7000","528","668","6332","2020"
"295752","ACI 1/4KG","7000","299","537","6463","2020"
"237600","KERUPUK MIE KUNING 1/4 KG","7000","372","503","6497","2020"
"292733","BERAS 5 KG","7000","426","501","6499","2020"
"156317","CORNETTO MINI ALL VARIAN 28ML","7000","237","484","6516","2020"
"202791","MIKA BESAR 2A 1 PCS","7000","4","478","6522","2020"
"171456","KERTAS KADO 1 PCS","7000","226","431","6569","2020"
"109575","STEROFOAM SEBLAK 1 PCS","7000","17","417","6583","2020"
"283221","KERUPUK ORANGE 1/4 KG","7000","297","417","6583","2020"
"171915","PINO ICE CUP X6","7000","163","413","6587","2020"
"130388","KOREK GAS TOKAY","7000","304","407","6593","2020"
"191903","PILUS BAWANG KILOAN KECIL","7000","299","405","6595","2020"
"226760","GULA MERAH PURNAMA 1/2 KG","7000","354","402","6598","2020"
"203080","PLAY GUM 1 PCS","7000","149","400","6600","2020"
"238563","PLASTIK PARASUT PUTIH BESAR","7000","202","376","6624","2020"
"247538","MIKA NS 2A","7000","2","360","6640","2020"
"259213","DUS SNACK PUTIH BESAR 1 PCS","7000","10","350","6650","2020"
"147238","CITRUN RENCENG","7000","290","338","6662","2020"
"133784","2TANG HIJAU 1 SLOP","7000","251","330","6670","2020"
"210170","MORISON TAWAR JUMBO 9000","7000","307","330","6670","2020"
"258628","TEPUNG GORENGAN CAP PADI KUNING  200G","7000","220","322","6678","2020"
"212097","KADO PARCEL 1 PCS","7000","17","312","6688","2020"
"281718","KACANG KILOAN","7000","249","311","6689","2020"
"263563","VANILLI 2 PCS","7000","136","310","6690","2020"
"205638","LOLIPOP 50GR MEGA CANDY","7000","270","309","6691","2020"
"259919","ROTI MORISON 8000","7000","267","300","6700","2020"
"275187","PASEO SMART FT 250S","7000","253","298","6702","2020"
"120283","STEROFOAM BUBUR 1PCS","7000","10","296","6704","2020"
"146548","KERIPIK PISANG MADU KILOAN","7000","234","288","6712","2020"
"185401","LADAKU MERICA 1 PCS","7000","11","288","6712","2020"
"190199","ISI ULANG GALON AQUA","7000","246","286","6714","2020"
"257167","PLASTIK TOYA HITAM KECIL","7000","221","282","6718","2020"
"275268","RAJAMAKRON 500G","7000","225","275","6725","2020"
"125868","BERAS 25 KG","7000","246","271","6729","2020"
"164589","PLASTIK ES 555 10X20","7000","250","266","6734","2020"
"253096","TEH SEPEDA BALAP 1 SLOP+2 GELAS","7000","144","264","6736","2020"
"142385","PAYUNG COKLAT 1 PCS","7000","296","255","6745","2020"
"183703","KUE KACANG 1 PACK","7000","187","254","6746","2020"
"260492","PLASTIK TOYA HITAM BESAR","7000","160","253","6747","2020"
"105940","AMANDA MARGARINE 1/4KG","7000","199","245","6755","2020"
"111899","PLASTIK ES 555 UK.12X20 1 PCS","7000","238","243","6757","2020"
"277913","STEROFOAM MANGKOK 1PCS","7000","3","236","6764","2020"
"272349","KACANG ASIN KILOAN","7000","171","216","6784","2020"
"143432","AGRO GELAS 1 DUS","7000","151","211","6789","2020"
"149929","TEPUNG HUNKWE PUTIH 56GR","7000","58","209","6791","2020"
"113483","KACANG TANAH 1/4","7000","158","208","6792","2020"
"207300","PLASTIK ATM/IDOLA UK 15","7000","131","201","6799","2020"
"173625","MIKA TANGGUNG1PCS","7000","6","199","6801","2020"
"201664","SENG","7000","79","192","6808","2020"
"246599","CAOS MERAH PUTIH","7000","132","191","6809","2020"
"207064","COIN MAINAN","7000","40","188","6812","2020"
"176476","SEDAP AYAM BAWANG 1 DUS","7000","116","187","6813","2020"
"161203","NICE FT 180S","7000","136","184","6816","2020"
"207840","MIE LIDI BESAR","7000","137","184","6816","2020"
"141477","TEH DANDANG 1 PACK+GELAS","7000","59","183","6817","2020"
"211821","KETUMBAR 1/2 ONS","7000","155","181","6819","2020"
"171197","VIT 220ML BOTOL 1 DUS","7000","76","180","6820","2020"
"266979","DUS SNACK PUTIH KECIL 1 PCS","7000","5","180","6820","2020"
"124363","BERAS 2 KG","7000","130","179","6821","2020"
"129072","TEH DANDANG HIJAU 7G 1SLOP","7000","135","178","6822","2020"
"210394","DINOSAURUS EGG 1 PCS","7000","112","178","6822","2020"
"130609","AGAR KIT HIJAU 1 PCS","7000","78","173","6827","2020"
"236819","MAZHU 1 DUS","7000","138","173","6827","2020"
"230504","KEMIRI 1/4 KG","7000","154","170","6830","2020"
"157173","KERIPIK SINGKONG KILOAN","7000","146","167","6833","2020"
"116679","KERUPUK SEBLAK KILOAN","7000","137","165","6835","2020"
"253719","ROTI MORISON 12000","7000","144","164","6836","2020"
"106761","SAOS SARANANDA","7000","107","162","6838","2020"
"221663","KOREK KAYU DURIAN","7000","65","158","6842","2020"
"229797","KERUPUK UDANG 2 GAJAH BESAR 250G","7000","72","158","6842","2020"
"131403","BERAS ZAKAT 2,5 KG","7000","35","156","6844","2020"
"119619","GUNTUR SNACK","7000","118","152","6848","2020"
"166654","SUNCO REFIL 500 ML","7000","1","150","6850","2020"
"213080","ABC KECAP 135ML BOTOL","7000","1","150","6850","2020"
"296880","ABC SAMBAL 135ML BOTOL","7000","1","150","6850","2020"
"130121","PULPEN STANDARD ALL WARNA","7000","87","148","6852","2020"
"213312","MIKA NS 4A 1 PCS","7000","4","145","6855","2020"
"282119","GULA MERAH PURNAMA 1 KG","7000","103","145","6855","2020"
"148270","PLASTIK ES 555 8X25","7000","136","143","6857","2020"
"183753","GULA BATU 250G","7000","88","143","6857","2020"
"207739","PLASTIK BOYO 12X20","7000","127","142","6858","2020"
"125601","OVALET 1 PCS","7000","102","140","6860","2020"
"210246","AGAR KIT MERAH 1 PCS","7000","62","140","6860","2020"
"284178","SAGU MUTIARA 1/2 KG","7000","74","139","6861","2020"
"209068","KERUPUK TENGIRI KILOAN","7000","120","136","6864","2020"
"212943","VIT GELAS 220ML 1 DUS","7000","107","136","6864","2020"
"100522","MERICA KILOAN 1/2 ONS","7000","126","135","6865","2020"
"110443","COKLAT BATANGAN 1 PCS","7000","36","131","6869","2020"
"124698","TELOR 2 PCS","7000","1","130","6870","2020"
"125235","UNIKO KILOAN","7000","117","130","6870","2020"
"236080","BELLA COKLAT KILOAN","7000","109","129","6871","2020"
"168649","TEPUNG PANIR 1/4KG","7000","103","125","6875","2020"
"104124","PANG PANG KILOAN","7000","112","124","6876","2020"
"119222","OPAK PEDAS KILOAN","7000","104","122","6878","2020"
"264402","NICE FT 250S","7000","109","121","6879","2020"
"120789","ACI KRIWIL 1/2 KG","7000","86","118","6882","2020"
"168017","KERIPIK PISANG KILOAN","7000","96","115","6885","2020"
"153974","KOKINYA TEPUNG MAIZENA 250G","7000","102","114","6886","2020"
"271781","EMPING MENTAH 1/4KG","7000","76","114","6886","2020"
"166560","GULA HALUS INTISARI 250G","7000","104","112","6888","2020"
