Price,Date
50.23,2021-01-04
51.87,2021-01-05
52.02,2021-01-06
52.2,2021-01-07
53.33,2021-01-08
53.33,2021-01-11
54.12,2021-01-12
54.13,2021-01-13
54.43,2021-01-14
53.53,2021-01-15
53.89,2021-01-19
53.82,2021-01-20
53.79,2021-01-21
53.22,2021-01-22
53.56,2021-01-25
53.36,2021-01-26
53.41,2021-01-27
52.91,2021-01-28
52.79,2021-01-29
53.92,2021-02-01
54.8,2021-02-02
55.51,2021-02-03
55.83,2021-02-04
56.27,2021-02-05
57.36,2021-02-08
57.7,2021-02-09
57.95,2021-02-10
57.64,2021-02-11
58.45,2021-02-12
59.2,2021-02-16
59.66,2021-02-17
59.35,2021-02-18
58.73,2021-02-19
60.59,2021-02-22
60.84,2021-02-23
62.38,2021-02-24
62.32,2021-02-25
60.6,2021-02-26
59.96,2021-03-01
59.44,2021-03-02
60.67,2021-03-03
62.64,2021-03-04
64.58,2021-03-05
63.96,2021-03-08
63.53,2021-03-09
63.7,2021-03-10
64.98,2021-03-11
64.79,2021-03-12
64.55,2021-03-15
64.29,2021-03-16
64.32,2021-03-17
60.68,2021-03-18
61.71,2021-03-19
61.97,2021-03-22
59.15,2021-03-23
61.85,2021-03-24
59.61,2021-03-25
61.71,2021-03-26
61.97,2021-03-29
61.24,2021-03-30
60.22,2021-03-31
62.49,2021-04-01
60.37,2021-04-05
61.0,2021-04-06
61.24,2021-04-07
60.86,2021-04-08
60.76,2021-04-09
61.15,2021-04-12
61.66,2021-04-13
64.14,2021-04-14
64.21,2021-04-15
64.02,2021-04-16
64.08,2021-04-19
63.51,2021-04-20
62.5,2021-04-21
62.65,2021-04-22
63.3,2021-04-23
63.12,2021-04-26
63.93,2021-04-27
64.69,2021-04-28
65.61,2021-04-29
64.35,2021-04-30
65.26,2021-05-03
66.52,2021-05-04
66.64,2021-05-05
65.97,2021-05-06
66.37,2021-05-07
66.56,2021-05-10
66.95,2021-05-11
67.68,2021-05-12
65.46,2021-05-13
66.63,2021-05-14
67.23,2021-05-17
66.7,2021-05-18
64.79,2021-05-19
63.65,2021-05-20
64.85,2021-05-21
66.74,2021-05-24
66.73,2021-05-25
66.98,2021-05-26
67.38,2021-05-27
66.9,2021-05-28
68.32,2021-06-01
69.34,2021-06-02
69.28,2021-06-03
69.87,2021-06-04
69.58,2021-06-07
70.18,2021-06-08
70.1,2021-06-09
70.26,2021-06-10
70.36,2021-06-11
70.51,2021-06-14
71.37,2021-06-15
71.6,2021-06-16
70.27,2021-06-17
70.63,2021-06-18
71.69,2021-06-21
71.85,2021-06-22
72.34,2021-06-23
72.66,2021-06-24
73.15,2021-06-25
72.1,2021-06-28
72.25,2021-06-29
72.37,2021-06-30
73.44,2021-07-01
73.79,2021-07-02
71.92,2021-07-06
70.96,2021-07-07
71.7,2021-07-08
73.11,2021-07-09
72.87,2021-07-12
74.13,2021-07-13
72.46,2021-07-14
71.39,2021-07-15
71.67,2021-07-16
66.94,2021-07-19
67.61,2021-07-20
70.31,2021-07-21
71.67,2021-07-22
71.88,2021-07-23
72.06,2021-07-26
71.89,2021-07-27
72.35,2021-07-28
73.61,2021-07-29
73.8,2021-07-30
71.49,2021-08-02
71.12,2021-08-03
69.32,2021-08-04
70.26,2021-08-05
69.87,2021-08-06
68.16,2021-08-09
69.76,2021-08-10
70.6,2021-08-11
70.44,2021-08-12
69.74,2021-08-13
68.68,2021-08-16
68.12,2021-08-17
67.26,2021-08-18
65.53,2021-08-19
64.28,2021-08-20
67.86,2021-08-23
69.78,2021-08-24
70.59,2021-08-25
69.57,2021-08-26
71.05,2021-08-27
71.53,2021-08-30
71.0,2021-08-31
71.03,2021-09-01
72.41,2021-09-02
71.98,2021-09-03
71.06,2021-09-07
71.82,2021-09-08
70.79,2021-09-09
72.26,2021-09-10
72.9,2021-09-13
72.97,2021-09-14
74.78,2021-09-15
74.98,2021-09-16
74.56,2021-09-17
73.07,2021-09-20
73.57,2021-09-21
75.39,2021-09-22
76.46,2021-09-23
